id,Name,Fueltype,Technology,Set,Country,Capacity,Duration,YearCommissioned,Retrofit,lat,lon,File,projectID,bus
788,Termini imerese c.le,OCGT,,PP,Italy,1221.0,0.0,,,37.984023,13.6961892,Viver Energia,"{'CARMA': ['CARMA45041'], 'ENTSOE': ['26WIMPI-S19TCRMT'], 'GPD': ['GPD10370']}",1337
789,Torrite,Hydro,,PP,Italy,67.0,0.0,,,44.097997899999996,10.399246,ENTSOE,"{'CARMA': ['CARMA65818'], 'ENTSOE': ['26WIMYI-S09TRRTB'], 'GPD': ['GPD10376']}",2347
790,Valle secolo,Geothermal,,PP,Italy,114.0,0.0,1981.0,1981.0,42.2362,10.8674,TERNA,"{'CARMA': ['CARMA47636'], 'ENTSOE': ['26WIMPI-S09VSLLJ'], 'GPD': ['GPD10394']}",2192
791,Mofjellet,Hydro,,PP,Norway,0.8,0.0,,,66.2928706,14.179840400000002,ENTSOE,"{'CARMA': ['CARMA46018'], 'ENTSOE': ['50WP00000000468M'], 'GPD': ['GPD11713']}",6787
792,Travale,Geothermal,,PP,Italy,59.0,0.0,2002.0,2003.0,43.167632299999994,11.006931800000002,ENTSOE,"{'CARMA': ['CARMA46186'], 'ENTSOE': ['26WIMPI-S09T4RVD', '26WIMPI-S09T3RVH'], 'GPD': ['GPD10380', 'GPD10379']}",2201
793,Tussa,Hydro,,PP,Norway,64.0,0.0,,,62.17864530000001,6.0833482000000005,ENTSOE,"{'CARMA': ['CARMA46685'], 'ENTSOE': ['50WP00000000766E'], 'GPD': ['GPD11789']}",6607
794,Tychy,Hard Coal,,PP,Poland,40.0,0.0,,,50.12180069999999,19.0200023,ENTSOE,"{'CARMA': ['CARMA46759', 'CARMA46760'], 'ENTSOE': ['19W000000000197M'], 'GPD': ['GPD12068']}",4381
795,Ulset,Hydro,,PP,Norway,40.0,0.0,,,60.461405299999996,5.3244739,ENTSOE,"{'CARMA': ['CARMA46975'], 'ENTSOE': ['50WP000000007795'], 'GPD': ['GPD11792']}",6489
796,Uvdal,Hydro,,PP,Norway,150.0,0.0,,,60.2991038,8.539907699999999,ENTSOE,"{'CARMA': ['CARMA46986', 'CARMA46985'], 'ENTSOE': ['50WP000000007892', '50WP000000007884'], 'GPD': ['GPD11795']}",6430
797,Usta,Hydro,,PP,Norway,206.2,0.0,,,60.5603433,8.3368586,ENTSOE,"{'CARMA': ['CARMA47356'], 'ENTSOE': ['50WP00000000785A'], 'GPD': ['GPD11793']}",6428
798,Ustekveikja,Hydro,,PP,Norway,42.0,0.0,,,60.53320309999999,8.202985499999999,ENTSOE,"{'CARMA': ['CARMA47357'], 'ENTSOE': ['50WP000000007876'], 'GPD': ['GPD11794']}",6428
799,Torrevaldaliga,CCGT,CCGT,PP,Italy,1488.0,0.0,2003.0,2003.0,42.1241,11.7624,,"{'CARMA': ['CARMA45964'], 'ENTSOE': ['26WIMPI-S12TRRVU'], 'GEO': ['GEO43713']}",2188
800,Tismana,Hydro,Reservoir,PP,Romania,104.8,0.0,1982.0,1982.0,45.04992960000001,22.9458871,,"{'CARMA': ['CARMA45545', 'CARMA45546'], 'ENTSOE': ['30W-CHE-TISM---J'], 'GEO': ['GEO40982']}",2017
801,Tihange,Nuclear,,PP,Belgium,3015.8,0.0,,,50.52969909999999,5.2614551,,"{'CARMA': ['CARMA45433'], 'ENTSOE': ['22WTIHANG000240V', '22WTIHANG000241T', '22WTIHANG000239G', '22WTIHANG000242R'], 'GEO': ['GEO5724']}",4876
802,Pietrafitta,CCGT,CCGT,PP,Italy,365.0,0.0,,,39.256106700000004,16.3434358,,"{'CARMA': ['CARMA65850'], 'ENTSOE': ['26WIMPI-S10PTRFC'], 'GEO': ['GEO44009']}",1343
